Ano;Semestre;CodConcelho;Concelho;Potência de Ligação (kW);Pedidos de Ligação à Rede Executados (#)
2021;1;1104;Cadaval;2000;1.0
2021;1;0704;Estremoz;5900;1.0
2021;1;0210;Moura;2860;1.0
2022;1;0704;Estremoz;14800;1.0
2022;1;0605;Figueira da Foz;0;1.0
2022;1;0211;Odemira;6000;1.0
2022;2;0108;Estarreja;10;1.0
2022;2;0805;Faro;0;1.0
2022;2;0408;Mogadouro;18000;1.0
2022;2;0210;Moura;1075;1.0
2023;1;1101;Alenquer;18000;1.0
2023;1;0602;Cantanhede;30600;1.0
2023;1;1207;Elvas;3000;3.0
2023;1;0508;Proença-a-Nova;1000;1.0
2023;1;1418;Tomar;9000;9.0
2023;1;1113;Torres Vedras;1000;1.0
2023;2;1502;Alcochete;11000;11.0
2023;2;0205;Beja;2000;2.0
2023;2;0602;Cantanhede;2000;2.0
2023;2;0903;Celorico da Beira;1000;2.0
2023;2;0704;Estremoz;6000;1.0
2023;2;0911;Sabugal;0;1.0
2023;2;1416;Santarém;1000;1.0
2023;2;1416;Santarém;3000;3.0
2023;2;0213;Serpa;1000;2.0
2023;2;1317;Vila Nova de Gaia;999;1.0
2024;1;0801;Albufeira;999;1.0
2024;1;0210;Moura;2000;2.0
2024;1;0714;Vila Viçosa;1000;2.0
2024;1;1823;Viseu;1000;1.0
2021;1;1416;Santarém;18000;1.0
2021;1;0409;Torre de Moncorvo;9600;1.0
2021;1;1317;Vila Nova de Gaia;26;1.0
2021;2;0210;Moura;42000;1.0
2021;2;0705;Évora;1000;1.0
2022;1;1709;Ribeira de Pena;4600;1.0
2022;1;0213;Serpa;45000;1.0
2022;2;1501;Alcácer do Sal;12500;1.0
2022;2;0302;Barcelos;1;1.0
2022;2;0703;Borba;20000;1.0
2022;2;0602;Cantanhede;9000;9.0
2022;2;1208;Fronteira;1000;1.0
2023;1;1101;Alenquer;10000;1.0
2023;1;0401;Alfândega da Fé;19000;1.0
2023;1;0503;Covilhã;2430;1.0
2023;1;1508;Palmela;20000;1.0
2023;1;0615;Soure;13000;1.0
2023;1;0616;Tábua;40000;1.0
2023;1;1712;Valpaços;30000;1.0
2023;2;1502;Alcochete;1000;1.0
2023;2;1502;Alcochete;1987;2.0
2023;2;0603;Coimbra;1987;2.0
2023;2;1810;Oliveira de Frades;987;1.0
2023;2;1013;Pedrogão Grande;1000;1.0
2023;2;1313;Póvoa de Varzim;0;1.0
2023;2;0213;Serpa;2000;2.0
2023;2;0714;Vila Viçosa;1000;1.0
2023;2;0705;Évora;2000;2.0
2024;1;0701;Alandroal;1000;1.0
2024;1;1207;Elvas;10000;1.0
2024;1;0210;Moura;4800;5.0
2024;1;1810;Oliveira de Frades;999;1.0
2024;1;1508;Palmela;30000;1.0
2024;1;1016;Porto de Mós;1000;2.0
2024;1;0912;Seia;1000;2.0
2024;1;0714;Vila Viçosa;2000;2.0
2024;1;1823;Viseu;2000;2.0
2022;1;0701;Alandroal;10000;1.0
2022;1;1301;Amarante;1040;1.0
2022;1;1110;Oeiras;15;1.0
2022;2;0703;Borba;800;1.0
2022;2;0508;Proença-a-Nova;1000;1.0
2022;2;0511;Vila Velha de Rodão;1000;2.0
2023;1;0801;Albufeira;14000;1.0
2023;1;1502;Alcochete;10000;1.0
2023;1;1502;Alcochete;29000;1.0
2023;1;0704;Estremoz;9900;1.0
2024;1;0210;Moura;1000;2.0
2024;1;1016;Porto de Mós;6000;1.0
2021;1;1415;Salvaterra de Magos;25000;1.0
2022;1;1418;Tomar;2250;1.0
2022;2;1402;Alcanena;1000;1.0
2022;2;1407;Chamusca;1500;1.0
2023;1;1207;Elvas;1000;1.0
2023;1;1208;Fronteira;4999;5.0
2023;1;0807;Lagos;44000;1.0
2023;1;1418;Tomar;1000;1.0
2023;2;0205;Beja;3000;3.0
2023;2;1009;Leiria;1000;1.0
2023;2;1308;Matosinhos;4489;1.0
2023;2;0610;Montemor-o-Velho;4800;1.0
2023;2;1508;Palmela;6961;7.0
2023;2;0615;Soure;15000;1.0
2024;1;1416;Santarém;8000;8.0
2024;1;1821;Tondela;1000;1.0
2023;1;1409;Coruche;880;1.0
2023;2;1513;Sines;0;1.0
2024;1;1009;Leiria;18000;1.0
